Nom;Latitude;Longitude;Massif;MIN;MAX;Date_;Perimetre;Surface;Code_WGI;Longueur;MOY;Pente;Expo_moy;Code;BV;GLIMS_ID
Glacier du Lac;"6? 11' 2,991"" E";"44? 53' 32,992"" N";Ecrins;2419;3117;1967;5722.74;269957;F4N01166F20;553.356;2796.48695652;32.8667;NE;F1A887;W273;G006182E44890N
Glacier supÚrieur des Sellettes;"6? 12' 29,028"" E";"44? 51' 43,639"" N";Ecrins;2677;2845;1967;1442.97;54512.3;F4N01166F15;485.059;2767.13043478;35.8336;E;F1A1767;W273;G006206E44859N
Glacier Est des Sellettes_1;"6? 13' 0,029"" E";"44? 51' 41,331"" N";Ecrins;2336;3268;1967;9027.63;1088400;F4N01166F14;1830.7;2679.75054705;27.6112;N;F1A1364;W273;G006216E44862N
Glacier du Fond_2;"6? 13' 37,533"" E";"44? 51' 23,790"" N";Ecrins;2674;2973;1967;2488.78;215987;F4N01151C03;576.512;2829.70652174;37.1851;NE;F1A1782;W273;G006733E45291N
Glacier de la Muande;"6? 14' 43,801"" E";"44? 51' 18,002"" N";Ecrins;2654;3282;1967;5812.46;630002;;675.601;2944.48473282;31.8959;NW;F1A1791;W273;G006419E44898N
Glacier de Trelaporte;"6? 55' 41,562"" E";"45? 54' 15,107"" N";Mont Blanc;2471;2786;1949;2523.48;225251;F4N01236A14;394.208;2580.22105263;35.4379;E;F1A516;V000;G006928E45905N
Glacier d'Envers de BlaitiÞre_1;"6? 55' 18,024"" E";"45? 53' 34,610"" N";Mont Blanc;2218;3542;1939;9465.89;838700;F4N01237B03;1691.27;2704.15099715;33.6718;E;F1A520;V000;G006901E45901N
Glacier du Bouchet;"6? 36' 10,314"" E";"45? 15' 35,109"" N";Vanoise;2753;3331;1970;8815.39;1041420;F4N01151A05;1740.33;3041.82232346;23.5249;W;F1A01;W103;G006602E45262N
Glacier de Polset_1;"6? 37' 56,980"" E";"45? 16' 15,418"" N";Vanoise;3057;3446;1970;3535.59;418743;F4N01151B10;1124;3250.32000000;24.3618;SE;F1A05;W103;G006647E45275N
Glacier des Saint PÚres;"6? 36' 40,373"" E";"45? 16' 52,882"" N";Vanoise;2951;3191;1970;1645.8;81237.9;F4N01146F08;402.58;3065.06250000;32.4634;NW;F1A07;W024;G006610E45281N
