Area;Perimeter;Glacier;Annee;Massif;MEAN_Pixel;MIN_Pixel;MAX_Pixel;MEDIAN_Pix;Length;Aspect;x_coord;y_coord;GLIMS_ID
0.73724559;7.55015061;du Ruan;1986;Aiguilles Rouges;2552.528529;2314;2829;2551;1938.320885;W;6.88899;46.1186;G006889E46119N
0.09462308;2.09770907;du Cheval Blanc;1986;Aiguilles Rouges;2617.538462;2536;2746;2606;408.6727688;NNW;6.86606;46.0521;G006866E46052N
0.00987081;0.54178833;des Beaux;1986;Aiguilles Rouges;2814.461538;2787;2844;2813;197.6983505;W;6.84511;46.0204;G006845E46020N
0.06396645;2.10388439;du Buet;1986;Aiguilles Rouges;2899.803571;2802;3000;2898.5;503.2220396;WNW;6.84692;46.024;G006847E46024N
0.34518882;5.9222166;de Tre les Eaux;1986;Aiguilles Rouges;2440.846512;2261;2711;2429;935.7944016;ENE;6.86168;46.0291;G006862E46029N
0.16305992;3.72473366;de Beugeant;1986;Aiguilles Rouges;2628.033898;2501;2764;2635.5;546.7133077;NW;6.88681;45.9953;G006887E45995N
0.17493603;2.2814193;d'Anneuley;1986;Aiguilles Rouges;2542.896825;2400;2664;2543.5;511.4371208;NNW;6.87951;45.9935;G006880E45993N
0.07960285;2.14105252;du Mort;1986;Aiguilles Rouges;2633.755556;2440;2747;2634;688.6189051;NNE;6.86457;45.9901;G006865E45990N
0.18314481;3.00205553;de Berard;1986;Aiguilles Rouges;2462.48366;2244;2704;2461;871.3933246;NNW;6.87076;45.992;G006871E45992N
0.16116953;2.75440425;du Belvedere;1986;Aiguilles Rouges;2682.175258;2588;2763;2689;599.7062228;E;6.87682;45.9851;G006877E45985N
0.04322792;1.50175201;des Dards;1986;Aiguilles Rouges;2664.304348;2636;2686;2664;389.6714544;WNW;6.87149;45.9844;G006871E45984N
0.16306961;2.4579969;de la Floria;1986;Aiguilles Rouges;2528.317073;2355;2663;2533;617.4882209;NNW;6.8621;45.9757;G006862E45976N
8.48969905;27.08086733;du Tour;1986;Mont Blanc;2877.906708;2139;3578;2885;4262.078734;NW;6.98808;45.9867;G006988E45987N
0.05236458;1.67451048;du Passon;1986;Mont Blanc;2882.577778;2816;3026;2868;560.0530984;WSW;6.9858;45.9732;G006986E45973N
0.14399759;2.70058368;Adams Reilly;1986;Mont Blanc;3011.518248;2720;3325;2996;889.835613;W;6.98953;45.9687;G006990E45969N
0.04288062;1.25208173;du Trident;1986;Mont Blanc;3043.488889;2986;3103;3047;268.4523534;SSW;6.99437;45.9645;G006994E45965N
1.15608643;9.50140218;du Chardonnet;1986;Mont Blanc;3103.309598;2555;3770;3110.5;2170.99278;W;7.003;45.9603;G007003E45960N
0.43292838;5.55575401;du Milieu;1986;Mont Blanc;3200.97076;2783;3743;3209;1892.717753;SW;7.00837;45.9541;G007008E45954N
14.59135234;63.13966136;d'Argentiere;1986;Mont Blanc;2663.475874;1479;3741;2704;9368.38851;NW;6.98505;45.9506;G006985E45951N
0.26486814;3.81583099;des Grands Montets;1986;Mont Blanc;3142.373737;2857;3321;3158.5;994.3390184;W;6.95524;45.9462;G006955E45946N
0.59664711;5.08099239;de la Pendant;1986;Mont Blanc;2794.612466;2501;3153;2790;1202.794174;NW;6.95169;45.9514;G006952E45951N
0.29377833;3.50761837;de Lognan;1986;Mont Blanc;2794.44186;2485;3108;2809;1295.507936;NNW;6.95676;45.9549;G006957E45955N
0.79268689;7.14258457;du Nant Blanc;1986;Mont Blanc;2709.459813;2247;3188;2706;2015.743028;WNW;6.95103;45.9386;G006951E45939N
0.11421869;2.47129122;des Drus;1986;Mont Blanc;2587.88764;2464;2748;2580;736.2150734;WNW;6.9466;45.9328;G006947E45933N
0.4368787;7.1966592;de la Charpoua;1986;Mont Blanc;2865.984894;2394;3295;2913;1755.605463;WSW;6.95454;45.9267;G006955E45927N
0.03863076;1.01622293;du Moine;1986;Mont Blanc;2838.151515;2801;2903;2836;245.8277271;SSE;6.96129;45.9123;G006961E45912N
7.97716867;35.56848045;de Talefre;1986;Mont Blanc;3029.738372;2276;3723;3027.5;5016.125892;WSW;6.99182;45.9127;G006992E45913N
0.10302226;1.76196217;de l'Aiguille de l'Eboulement;1986;Mont Blanc;3421.841463;3208;3535;3453.5;411.1719032;NW;7.00008;45.8945;G007000E45895N
0.40704573;6.16705056;Pierre Joseph;1986;Mont Blanc;3061.284698;2693;3357;3083;1200.234541;W;6.99352;45.8958;G006994E45896N
0.11718385;1.98678084;de l'Aiguille du Tacul;1986;Mont Blanc;3174.166667;3005;3313;3177.5;435.1749907;NW;6.95963;45.8869;G006960E45887N
0.20178416;2.94118264;du Capucin;1986;Mont Blanc;2717.598901;2375;3056;2717.5;1067.922437;NE;6.9689;45.8881;G006969E45888N
0.60735743;6.4045956;des Nantillons;1986;Mont Blanc;2800.571734;2348;3300;2770;1646.945146;NNW;6.91202;45.9072;G006912E45907N
0.25039184;3.1720429;Trelaporte;1986;Mont Blanc;2580.368421;2458;2730;2582.5;611.337603;E;6.92767;45.9054;G006928E45905N
0.12276232;2.52459074;de la Thendia;1986;Mont Blanc;2456.936842;2274;2643;2457;469.8017796;NNE;6.92358;45.9111;G006924E45911N
0.02899364;1.00656868;de la Republique;1986;Mont Blanc;2808.8125;2713;2922;2787.5;258.6511618;NE;6.91905;45.9062;G006919E45906N
0.02885504;0.98504958;du Fou;1986;Mont Blanc;3083.033333;2956;3171;3076.5;321.4980069;NW;6.90889;45.897;G006909E45897N
0.05923483;1.99069596;du Plan;1986;Mont Blanc;3292.22;3097;3575;3253;512.501085;NW;6.90606;45.8945;G006906E45895N
0.58493112;5.43638314;de Blaitiere;1986;Mont Blanc;2564.700565;2284;3002;2539.5;1569.425889;NW;6.90117;45.9015;G006901E45901N
1.04718901;7.72562602;des Pelerins;1986;Mont Blanc;2521.658777;2184;2941;2523;1932.471408;NW;6.88947;45.8915;G006889E45892N
0.2200179;2.81505192;du Telepherique;1986;Mont Blanc;2677.78;2544;2891;2665.5;811.3887462;NNW;6.87979;45.8858;G006880E45886N
0.07098976;1.650449;Ouest de l'Aiguille du Midi;1986;Mont Blanc;3295.067797;3110;3525;3274;522.9468622;WNW;6.882;45.8767;G006882E45877N
0.16779725;2.02104663;Rond;1986;Mont Blanc;2731.794118;2574;2888;2733.5;523.6601327;WNW;6.87467;45.8795;G006875E45880N
0.47940438;6.52646294;Arete Midi Plan;1986;Mont Blanc;3388.31875;2813;3697;3429;650.4820207;NNW;6.88781;45.8821;G006888E45882N
5.29440602;19.67721578;Taconnaz;1986;Mont Blanc;3128.910301;1551;4287;3172;4868.178902;NNW;6.84404;45.8634;G006844E45863N
5.26395037;18.9442694;de Bionnassay;1986;Mont Blanc;2976.518337;1723;4289;2979;5973.630159;NW;6.81094;45.8492;G006811E45849N
0.39439774;5.27007729;du Bourgeat;1986;Mont Blanc;3039.857143;2154;3707;3085;1778.722145;NNW;6.831;45.863;G006831E45863N
0.60517283;6.62441827;de la Griaz;1986;Mont Blanc;3048.269504;2478;3788;3004;1768.203608;NW;6.82318;45.8589;G006823E45859N
0.0892393;1.73664078;de Tete Rousse;1986;Mont Blanc;3162.355932;3054;3241;3162;575.2297098;W;6.81928;45.8563;G006819E45856N
0.22898886;2.96091537;du Tricot;1986;Mont Blanc;2944.565217;2699;3269;2941;815.2051159;W;6.79949;45.837;G006799E45837N
1.3430813;11.76441699;du Miage 4;1986;Mont Blanc;2800.122605;2128;3652;2725;2943.999889;W;6.79948;45.8271;G006799E45827N
0.03172114;1.08141288;du Miage 1;1986;Mont Blanc;2419;2287;2566;2423;379.3120187;WNW;6.7847;45.8225;G006785E45822N
0.25750088;3.50277658;du Miage 2;1986;Mont Blanc;3153.215517;2695;3561;3140;985.4568769;NW;6.79162;45.8171;G006792E45817N
