Area;Perimeter;Glacier;Annee;Massif;MEAN_Pixel;MIN_Pixel;MAX_Pixel;MEDIAN_Pix;Length;Aspect;x_coord;y_coord;GLIMS_ID;Massif_SAFRAN;Aspect_num;ID
0.3324;5.9773;de Tre les Eaux;2003;Aiguilles Rouges;2438.657407;2258;2711;2429.5;935.7944016;ENE;6.86168;46.0291;G006862E46029N;1;90;3584
0.1428;3.4944;de Beugeant;2003;Aiguilles Rouges;2634.689655;2515;2765;2638.5;509.9621264;NW;6.88681;45.9953;G006887E45995N;3;315;3409
0.1057;2.5624;du Belvedere;2003;Aiguilles Rouges;2691.662162;2588;2763;2694;599.7062228;E;6.87682;45.9851;G006877E45985N;3;90;3450
0.1052;2.4088;Adams Reilly;2003;Mont Blanc;3061.441176;2772;3325;3103;679.8329944;W;6.98953;45.9687;G006990E45969N;3;270;3511
0.2395;3.606;des Grands Montets;2003;Mont Blanc;3146.590426;2857;3321;3166.5;994.3390184;W;6.95524;45.9462;G006955E45946N;3;270;3475
0.4561;4.3417;de la Pendant;2003;Mont Blanc;2841.666667;2608;3153;2827;950.8483903;NW;6.95169;45.9514;G006952E45951N;3;315;3639
0.2492;3.2298;de Lognan;2003;Mont Blanc;2825.876344;2498;3108;2839.5;1228.017638;NNW;6.95676;45.9549;G006957E45955N;3;0;3585
0.1115;2.3662;des Drus;2003;Mont Blanc;2588.397727;2464;2748;2580.5;736.2150734;WNW;6.9466;45.9328;G006947E45933N;3;270;3519
0.0381;1.0537;du Moine;2003;Mont Blanc;2840.129032;2801;2903;2834;245.8277271;SSE;6.96129;45.9123;G006961E45912N;3;180;3631
0.1983;2.9341;de Trelaporte;2003;Mont Blanc;2590.278195;2458;2730;2591;611.337603;E;6.92767;45.9054;G006928E45905N;3;90;3313
0.0592;1.9907;du Plan;2003;Mont Blanc;3292.22;3097;3575;3253;512.501085;NW;6.90606;45.8945;G006906E45895N;3;315;3381
0.5596;4.8943;de Blaitiere;2003;Mont Blanc;2570.546512;2300;3002;2544.5;1482.50148;NW;6.90117;45.9015;G006901E45901N;3;315;3518
0.2055;2.6666;du Telepherique;2003;Mont Blanc;2683.330986;2544;2891;2673.5;799.0952356;NNW;6.87979;45.8858;G006880E45886N;3;0;3265
11.4277;27.7969;Bossons;2003;Mont Blanc;3300.100143;1417;4797;3342.5;7203.935556;NNW;6.86489;45.8677;G006865E45868N;3;0;3646
4.9023;19.7964;Taconnaz;2003;Mont Blanc;3196.712565;1769;4289;3230.5;4422.431394;NNW;6.84404;45.8634;G006844E45863N;3;0;3647
5.1043;18.5625;de Bionnassay;2003;Mont Blanc;2976.281266;1723;4289;2980;5973.630159;NW;6.81094;45.8492;G006811E45849N;3;315;3648
0.5114;5.9343;de la Griaz;2003;Mont Blanc;3085.863158;2602;3788;3026.5;1563.538708;NW;6.82318;45.8589;G006823E45859N;3;315;3280
0.0831;1.7037;de Tete Rousse;2003;Mont Blanc;3161.245614;3054;3241;3161;575.2297098;W;6.81928;45.8563;G006819E45856N;3;270;3438
0.0258;0.7909;du Miage 1;2003;Mont Blanc;2449.2;2367;2566;2446;221.922994;WNW;6.7847;45.8225;G006785E45822N;3;270;3276
0.2206;3.5042;du Miage 2;2003;Mont Blanc;3147.787879;2695;3561;3106.5;985.4568769;NW;6.79162;45.8171;G006792E45817N;3;315;3388
0.6215;5.304;du Miage 3;2003;Mont Blanc;3265.366359;2769;3628;3263.5;887.6787055;N;6.79932;45.8194;G006799E45819N;3;0;3579
0.7571;6.3789;de Covagnet;2003;Mont Blanc;3053.037931;2273;3635;3042.5;1812.17342;NW;6.78311;45.8173;G006783E45817N;3;315;3650
0.1487;4.0342;de la Berangere;2003;Mont Blanc;3175.603448;3050;3342;3169.5;985.2155462;SSW;6.77575;45.7988;G006776E45799N;3;180;3344
0.0642;1.1024;de la Petite Aiguille des Glaciers 1;2003;Mont Blanc;3288.641509;3193;3380;3283;293.1792654;SSE;6.80402;45.7691;G006804E45769N;6;180;3713
1.445;9.0564;des Glaciers;2003;Mont Blanc;3144.46554;2537;3663;3141;2512.450543;SSW;6.79392;45.7685;G006794E45769N;6;180;3339
0.0627;1.2605;d'Enclave;2003;Mont Blanc;2841.520833;2777;2911;2841;277.6639664;SSE;6.75315;45.7602;G006753E45760N;6;180;3592
0.3503;3.7087;des Lanchettes;2003;Mont Blanc;2688.573529;2525;2855;2696.5;919.8222564;SSE;6.76355;45.7647;G006764E45765N;6;180;3468
0.3635;3.3488;du Mont Tondu;2003;Mont Blanc;2832.79661;2618;3056;2830;1254.995804;NE;6.76178;45.7719;G006762E45772N;3;45;3609
0.0589;2.0217;du Col des Chasseurs;2003;Mont Blanc;2754.584906;2591;2848;2766;298.8728084;N;6.75524;45.7732;G006755E45773N;3;0;3581
0.561;4.1718;du Grand;2003;Haute Vallée de l'Isère;3016.702797;2797;3201;3016.5;1045.682925;WNW;6.985;45.6419;G006985E45642N;6;270;3652
0.9465;9.1161;de l'Invernet;2003;Haute Vallée de l'Isère;2963.651923;2637;3365;2956.5;1700.047785;WNW;6.98624;45.6338;G006986E45634N;6;270;3547
0.0688;2.1731;d'Archeboc;2003;Haute Vallée de l'Isère;3162.639344;3079;3212;3167;391.7806223;SW;6.98459;45.5798;G006985E45580N;6;225;3352
0.0081;0.5206;de Bellecote 1;2003;Vanoise;2998.285714;2989;3005;3000;137.5599012;W;6.77045;45.4972;G006770E45497N;10;270;0
0.0723;1.3877;de Bellecote 2;2003;Vanoise;3076.288136;3005;3184;3064;506.1525032;WNW;6.7745;45.4952;G006774E45495N;10;270;3286
0.2649;2.8433;de la Chiaupe;2003;Vanoise;3096.945455;2994;3227;3095;541.8308919;WNW;6.77626;45.4882;G006776E45488N;10;270;3273
0.5026;5.0837;du Cul du Nant;2003;Vanoise;3157.268293;2939;3348;3153;1299.488488;SE;6.78425;45.4866;G006784E45487N;10;135;3376
0.0823;1.6776;Gros Glacier 1;2003;Vanoise;3113.678161;2862;3302;3108;525.757179;NNE;6.7907;45.4939;G006791E45494N;10;0;3720
0.2467;3.2186;des Picheres 1;2003;Vanoise;3173.690058;3023;3291;3174;592.452636;ENE;6.80333;45.4934;G006803E45493N;10;90;3715
0.9062;4.075;Inferieur des Balmes;2003;Haute Vallée de l'Isère;2541.525316;2367;2821;2529.5;1270.06103;NNW;6.97222;45.5492;G006972E45549N;6;0;3464
1.6895;7.8689;Superieur des Balmes;2003;Haute Vallée de l'Isère;3257.439922;2774;3545;3273.5;1763.896011;NNW;6.98494;45.5377;G006985E45538N;6;0;3529
2.1087;7.5688;de la Sassiere;2003;Haute Vallée de l'Isère;3203.172073;2782;3591;3208;2158.575921;NW;6.98847;45.5152;G006988E45515N;6;315;3297
0.8776;4.9214;du Fond 2;2003;Haute Vallée de l'Isère;3222.022222;2882;3605;3210.5;1935.776324;NW;6.99288;45.5206;G006993E45521N;6;315;3303
0.1344;1.8617;du Varet;2003;Haute Vallée de l'Isère;3013.99;2875;3156;3016.5;623.7651891;N;6.84944;45.5563;G006849E45556N;6;0;3616
0.2486;4.0744;de Turia;2003;Haute Vallée de l'Isère;2909.454545;2668;3170;2901;1067.809472;N;6.86509;45.542;G006865E45542N;6;0;3369
0.4835;4.3371;du Geay;2003;Haute Vallée de l'Isère;3289.465995;2848;3711;3303;1466.396905;W;6.84987;45.5323;G006850E45532N;6;270;3359
0.7576;5.1167;Nord de la Gurraz;2003;Haute Vallée de l'Isère;3034.560484;2629;3442;3036.5;2072.489558;ENE;6.87229;45.5354;G006872E45535N;6;90;3625
1.8138;8.1167;Sud de la Gurraz;2003;Haute Vallée de l'Isère;3021.143187;2245;3534;3053.5;3313.858311;NE;6.87363;45.5307;G006874E45531N;6;45;3653
0.0497;0.9109;du Pretre;2003;Haute Vallée de l'Isère;3306.1;3183;3419;3312.5;221.2925145;W;6.86364;45.5179;G006864E45518N;6;270;3463
0.9497;7.2733;de Savinaz;2003;Haute Vallée de l'Isère;3089.48;2452;3567;3148;2221.904992;ENE;6.87952;45.521;G006880E45521N;6;90;3452
0.2414;2.6316;de l'Inverneau;2003;Haute Vallée de l'Isère;2884.955224;2662;3066;2884;595.3850459;ENE;6.88775;45.5145;G006888E45514N;6;90;3288
0.1504;1.8881;Suspendu 1;2003;Haute Vallée de l'Isère;3233.423358;3040;3361;3239;518.2055294;SSE;6.86956;45.5068;G006870E45507N;6;180;3260
1.1056;9.3862;de Rhemes Golette;2003;Haute Vallée de l'Isère;3132.669118;2895;3542;3107.5;1399.02881;NNW;7.04512;45.4873;G007045E45487N;6;0;3163
0.1214;2.6907;du Couart Dessus;2003;Haute Vallée de l'Isère;3306.783019;3089;3479;3329;905.5814442;S;7.04227;45.4749;G007042E45475N;6;180;3432
0.1107;2.899;de Bazel;2003;Haute Vallée de l'Isère;3264.947917;3123;3396;3277;517.0296518;SW;7.05643;45.4694;G007056E45469N;6;225;3256
0.0783;1.6234;de Calabre;2003;Haute Vallée de l'Isère;3083.409836;3034;3150;3079;301.4412456;SW;7.0839;45.47;G007084E45470N;11;225;3167
0.0134;0.488;de la Galise 2;2003;Haute Vallée de l'Isère;2902.4;2891;2914;2904;146.7765351;W;7.09509;45.4593;G007095E45459N;11;270;3722
0.0556;1.5239;du Grand Vallon 1;2003;Haute Vallée de l'Isère;3070.52459;2943;3179;3070;419.7031836;NNE;7.04592;45.4362;G007046E45436N;6;0;3474
0.1947;3.526;du Col Pers;2003;Haute Vallée de l'Isère;3001.078788;2881;3178;2991;288.2215981;NNW;7.05886;45.4339;G007059E45434N;6;0;3555
0.7073;6.5934;du Grand Pisaillas 1;2003;Haute Maurienne;3154.188755;3018;3311;3154;933.8499698;WNW;7.06244;45.4265;G007062E45426N;11;270;3726
0.1805;2.4637;du Gros Caval;2003;Haute Vallée de l'Isère;3054.432432;2872;3223;3043;939.011662;NNW;7.08282;45.4367;G007083E45437N;11;0;3480
0.0072;0.358;de l'Ouille Noire;2003;Haute Maurienne;2974.333333;2970;2982;2971;71.05785041;WNW;7.06354;45.4059;G007064E45406N;11;270;0
0.0075;0.4152;du Vallonnet 3;2003;Vanoise;3097.666667;3025;3125;3107.5;107.8031114;NE;6.75509;45.406;G006755E45406N;10;45;0
0.1895;3.0233;de la Patinoire;2003;Vanoise;2573.678571;2511;2695;2569.5;572.7149268;S;6.76523;45.4075;G006765E45407N;10;180;3525
0.0124;0.47;de la Vuzelle 1;2003;Vanoise;3258.692308;3209;3289;3264;133.3460835;SW;6.7593;45.4171;G006759E45417N;10;225;3586
1.2504;7.1255;des Volnets;2003;Vanoise;2993.080709;2672;3303;2991.5;1233.095991;NE;6.76314;45.4239;G006763E45424N;10;45;3569
0.1057;2.0709;de Becca Motta;2003;Vanoise;2849.412844;2719;2988;2848;461.8589844;NNE;6.7537;45.4315;G006754E45431N;10;0;3537
0.1755;2.3393;de la Roche du Tougne;2003;Vanoise;2925.323353;2739;3099;2916;750.8544287;NE;6.78209;45.4186;G006782E45419N;10;45;3322
0.1764;2.7125;Nord de la Gliere 2;2003;Vanoise;2745.722581;2612;2920;2740;625.2201504;N;6.78811;45.4181;G006788E45418N;10;0;3423
0.239;2.8703;Nord de la Gliere 1;2003;Vanoise;2696.07177;2508;2935;2687;881.2768871;N;6.7969;45.418;G006797E45418N;10;0;3575
0.1525;2.6871;Sud de la Gliere;2003;Vanoise;3000.595745;2868;3135;2999;658.9858589;WSW;6.78999;45.411;G006790E45411N;10;270;3577
0.7356;5.9021;de la Grande Casse;2003;Vanoise;2864.870307;2697;3159;2861;1932.957982;SW;6.80324;45.4091;G006803E45409N;10;225;3664
0.5996;5.1575;de Rosolin;2003;Vanoise;2829.379928;2642;3062;2824;1126.819463;NNE;6.84309;45.4175;G006843E45417N;10;0;3295
1.0309;8.331;de Premou;2003;Vanoise;3146.081188;2812;3542;3138;1074.071045;NW;6.86208;45.4135;G006862E45413N;10;315;3561
0.9606;7.1786;de Pramort ou de Rosolin Derriere;2003;Vanoise;2608.091295;2325;2998;2585;1946.677479;NNW;6.85751;45.423;G006858E45423N;10;0;3614
0.0864;2.3289;Est de Pramecou (?);2003;Vanoise;2875.506667;2751;2971;2887;406.44592;NNE;6.8828;45.4347;G006883E45435N;6;0;3374
0.0583;1.5694;de la Sana;2003;Vanoise;3245.578125;3180;3348;3237;630.1099189;SE;6.92092;45.3818;G006921E45382N;6;135;3346
0.0438;1.1317;du Rocher des Barmes de l'Ours (?);2003;Haute Vallée de l'Isère;2982.925926;2885;3067;2988;332.0259634;N;6.93911;45.3861;G006939E45386N;6;0;3608
0.7725;5.9022;des Barmes de l'Ours;2003;Vanoise;2972.865942;2817;3143;2971.5;1460.153289;NE;6.92238;45.3914;G006922E45391N;6;45;3659
0.8889;6.6145;de la Leisse;2003;Vanoise;3116.682819;2846;3411;3116.5;1089.529298;NW;6.91014;45.3861;G006910E45386N;10;315;3660
0.1428;3.0045;du Charbonnier;2003;Vanoise;3015.661654;2855;3213;3014;857.1507209;NW;6.89325;45.38;G006893E45380N;10;315;3661
2.305;10.2517;du Vallonnet 1;2004;Vanoise;3225.86722;2791;3498;3241.5;1959.451464;NNE;6.90355;45.3351;G006904E45335N;6;0;3400
0.118;1.6619;des Broes;2003;Vanoise;3211.052632;3002;3374;3217.5;512.5254839;N;6.90955;45.3462;G006910E45346N;10;0;3618
0.6809;5.0318;du Vallonbrun;2004;Vanoise;3121.229614;2803;3468;3106;1484.245622;NW;6.94831;45.3365;G006948E45337N;6;315;3347
0.913;7.3521;du Gefret;2004;Vanoise;3059.702771;2840;3329;3055;1071.211021;NNW;6.95574;45.3436;G006956E45344N;6;0;3605
0.1542;2.0659;des Lechours;2003;Vanoise;3066.158621;2925;3222;3059;449.713212;N;6.96824;45.3517;G006968E45352N;6;0;3504
0.9472;7.6409;de Mean Martin;2003;Vanoise;3051.570025;2833;3322;3044;1631.057598;NE;6.97955;45.3465;G006980E45346N;6;45;3656
0.5628;6.6032;des Roches Blanches;2003;Vanoise;3071.538136;2914;3239;3069.5;1031.419386;NW;6.97889;45.3632;G006979E45363N;6;315;3700
