massif_SAF;FID_1;Area;Perimeter;Glacier;Annee;Massif;WGI;Operateur;Glacier_2;MEAN_Pixel;MIN_PixelV;MAX_PixelV;MEDIAN_Pix;date;data_sourc;institutio;date_analy;FID_2;Length;aspect_sec;MEAN_Pix_1;x_coord;y_coord;GLIMS_ID;analyst_2;processing;ID;layer;path
"1";"172";1.1501000000;11.7994000000;de Prazon;"2003";Aiguilles Rouges;F4N01231C03 (?);J-P DEDIEU;Prazon;2665.0633609000;"2322";"2901";2668.0000000000;13-08-2003;Landsat5_195-028_13-08-2003;Universite de Grenoble - LGGE/LTHE;28-02-2013;"373";956.0893816700;WNW;21.1428571400;6.8868500000;46.1075000000;G006887E46108N;Alexandre CHARRON;Manual adjustment of the 1985 contour lines for each individual glacier;"3384";GLIMS_glaciers_2003_ID;C:\Jordi\PhD\Python\ALPGM\glacier_data\glacier_shapefiles\2003\GLIMS_glaciers_2003_ID.shp
"1";"173";0.6662000000;6.9784000000;du Ruan;"2003";Aiguilles Rouges;F4N01231C02 (?);J-P DEDIEU;Ruan;2567.7086093000;"2327";"2822";2564.5000000000;13-08-2003;Landsat5_195-028_13-08-2003;Universite de Grenoble - LGGE/LTHE;28-02-2013;"381";1910.7257840000;W;18.9134620000;6.8889900000;46.1186000000;G006889E46119N;Alexandre CHARRON;Manual adjustment of the 1985 contour lines for each individual glacier;"3488";GLIMS_glaciers_2003_ID;C:\Jordi\PhD\Python\ALPGM\glacier_data\glacier_shapefiles\2003\GLIMS_glaciers_2003_ID.shp
"1";"168";0.0104000000;0.5229000000;des Beaux;"2003";Aiguilles Rouges;F4N01231D01;J-P DEDIEU;Beaux;2810.4285714000;"2787";"2831";2810.5000000000;13-08-2003;Landsat5_195-028_13-08-2003;Universite de Grenoble - LGGE/LTHE;28-02-2013;"385";141.1567549000;W;18.5454550000;6.8451100000;46.0204000000;G006845E46020N;Alexandre CHARRON;Manual adjustment of the 1985 contour lines for each individual glacier;"3490";GLIMS_glaciers_2003_ID;C:\Jordi\PhD\Python\ALPGM\glacier_data\glacier_shapefiles\2003\GLIMS_glaciers_2003_ID.shp
"1";"171";0.0765000000;2.3356000000;du Cheval Blanc;"2003";Aiguilles Rouges;F4N01231C04 (?);J-P DEDIEU;Cheval Blanc;2618.7407407000;"2536";"2746";2606.5000000000;13-08-2003;Landsat5_195-028_13-08-2003;Universite de Grenoble - LGGE/LTHE;28-02-2013;"384";376.6690074900;NNW;26.1500000000;6.8660600000;46.0521000000;G006866E46052N;Alexandre CHARRON;Manual adjustment of the 1985 contour lines for each individual glacier;"3434";GLIMS_glaciers_2003_ID;C:\Jordi\PhD\Python\ALPGM\glacier_data\glacier_shapefiles\2003\GLIMS_glaciers_2003_ID.shp
"1";"11";0.0099000000;0.3924000000;Le Grand Neve - Avoudrue;"2003";Aiguilles Rouges;F4N01231C01;J-P DEDIEU;Grand Neve / Avoudrue;2435.7000000000;"2406";"2469";2439.0000000000;13-08-2003;Landsat5_195-028_13-08-2003;Universite de Grenoble - LGGE/LTHE;28-02-2013;"383";127.2077347000;NNE;25.5172410000;6.8224300000;46.1053000000;G006822E46105N;Alexandre CHARRON;Manual adjustment of the 1985 contour lines for each individual glacier;"3514";GLIMS_glaciers_2003_ID;C:\Jordi\PhD\Python\ALPGM\glacier_data\glacier_shapefiles\2003\GLIMS_glaciers_2003_ID.shp
"1";"10";0.0270000000;1.5489000000;du Folly - Avoudrues;"2003";Aiguilles Rouges;F4N01231C01;J-P DEDIEU;Folly / Avoudrues;2531.0000000000;"2454";"2596";2536.0000000000;13-08-2003;Landsat5_195-028_13-08-2003;Universite de Grenoble - LGGE/LTHE;28-02-2013;"382";132.4391740000;NW;35.2222220000;6.8082400000;46.1022000000;G006808E46102N;Alexandre CHARRON;Manual adjustment of the 1985 contour lines for each individual glacier;"3279";GLIMS_glaciers_2003_ID;C:\Jordi\PhD\Python\ALPGM\glacier_data\glacier_shapefiles\2003\GLIMS_glaciers_2003_ID.shp
"1";"170";0.3324000000;5.9773000000;de Tre les Eaux;"2003";Aiguilles Rouges;F4N01211D02;J-P DEDIEU;Tre les Eaux;2438.6574074000;"2258";"2711";2429.5000000000;13-08-2003;Landsat5_195-028_13-08-2003;Universite de Grenoble - LGGE/LTHE;28-02-2013;"0";935.7944015800;ENE;24.7407407400;6.8616800000;46.0291000000;G006862E46029N;Alexandre CHARRON;Manual adjustment of the 1985 contour lines for each individual glacier;"3584";GLIMS_glaciers_2003_ID;C:\Jordi\PhD\Python\ALPGM\glacier_data\glacier_shapefiles\2003\GLIMS_glaciers_2003_ID.shp
"1";"169";0.0545000000;2.3125000000;du Buet;"2003";Aiguilles Rouges;F4N01231D01;J-P DEDIEU;Buet;2891.2941176000;"2801";"3000";2889.0000000000;13-08-2003;Landsat5_195-028_13-08-2003;Universite de Grenoble - LGGE/LTHE;28-02-2013;"386";470.6282559800;WNW;17.9629630000;6.8469200000;46.0240000000;G006847E46024N;Alexandre CHARRON;Manual adjustment of the 1985 contour lines for each individual glacier;"3528";GLIMS_glaciers_2003_ID;C:\Jordi\PhD\Python\ALPGM\glacier_data\glacier_shapefiles\2003\GLIMS_glaciers_2003_ID.shp
"3";"556";0.0037000000;0.2449000000;des Dards 3;"2003";Aiguilles Rouges;F4N01232A01;Alexandre CHARRON;Dards 3;2681.5000000000;"2675";"2689";2681.0000000000;13-08-2003;Landsat5_195-028_13-08-2003;Universite de Grenoble - LGGE/LTHE;28-02-2013;"6";72.8129567000;WNW;11.4285714300;6.8714900000;45.9844000000;G006871E45984N;Alexandre CHARRON;Manual adjustment of the 1985 contour lines for each individual glacier;"0";GLIMS_glaciers_2003_ID;C:\Jordi\PhD\Python\ALPGM\glacier_data\glacier_shapefiles\2003\GLIMS_glaciers_2003_ID.shp
"3";"555";0.0105000000;0.6427000000;des Dards 2;"2003";Aiguilles Rouges;F4N01232A01;Alexandre CHARRON;Dards 2;2654.0000000000;"2642";"2664";2653.0000000000;13-08-2003;Landsat5_195-028_13-08-2003;Universite de Grenoble - LGGE/LTHE;28-02-2013;"5";122.6242765200;WNW;11.4285714300;6.8714900000;45.9844000000;G006871E45984N;Alexandre CHARRON;Manual adjustment of the 1985 contour lines for each individual glacier;"3812";GLIMS_glaciers_2003_ID;C:\Jordi\PhD\Python\ALPGM\glacier_data\glacier_shapefiles\2003\GLIMS_glaciers_2003_ID.shp
