Area;Perimeter;Glacier;Annee;Massif;MEAN_Pixel;MIN_Pixel;MAX_Pixel;MEDIAN_Pix;Length;Aspect;x_coord;y_coord;GLIMS_ID;Massif_SAFRAN;Aspect_num
0.3605;6.6576;du Ruan;2015;Aiguilles Rouges;2571.598131;2421;2799;2562;801.66739;W;6.890351015;46.11999688;G006889E46119N;1;270
0.0203;0.8238;du Prazon_2;2015;Aiguilles Rouges;2752.909091;2715;2779;2758;114.11991;WNW;6.891961086;46.11348089;G006887E46108N;1;270
0.5515;7.0119;du Prazon_1;2015;Aiguilles Rouges;2667.984756;2491;2882;2659;727.76858;WNW;6.886736058;46.1051421;G006887E46108N;1;270
0.0116;0.68;du Prazon_4;2015;Aiguilles Rouges;2862.8;2851;2876;2861;162.45856;WNW;6.876892764;46.09842934;G006887E46108N;1;270
0.0452;1.18;du Prazon_3;2015;Aiguilles Rouges;2874.56;2838;2901;2877;243.37127;WNW;6.884132477;46.09724962;G006887E46108N;1;270
0.0744;2.526;de Tre les Eaux;2015;Aiguilles Rouges;2426.522124;2300;2547;2427;775.6156;ENE;6.860462109;46.03023391;G006862E46029N;1;90
0.0077;0.6367;des Beaux;2015;Aiguilles Rouges;2813.2;2797;2822;2817;137.5421;WNW;6.84520592;46.02034636;G006847E46024N;1;270
0.0047;0.3679;du Folly;2015;Aiguilles Rouges;2576.666667;2568;2587;2575;66.48912;NNE;6.814561726;46.10266012;G006822E46105N;1;0
0.0135;0.6736;du Prazon_5;2015;Aiguilles Rouges;2878.166667;2848;2903;2878;204.08231;WNW;6.879792855;46.09673765;G006887E46108N;1;270
0.0537;1.2356;de Beugeant_2;2015;Aiguilles Rouges;2688.9375;2572;2823;2683.5;312.70471;NW;6.892034331;45.99646698;G006887E45995N;3;315
0.0548;1.8227;de Beugeant_1;2015;Aiguilles Rouges;2689.117647;2526;2800;2695.5;501.82377;NW;6.886745501;45.99504211;G006887E45995N;3;315
0.0904;2.0185;d'Anneuley;2015;Aiguilles Rouges;2593.517857;2459;2708;2598;455.16177;NNW;6.879829321;45.99291111;G006880E45993N;3;0
0.0984;2.3125;du Berard;2015;Aiguilles Rouges;2563.786164;2422;2704;2563;789.3548;NNE;6.872069825;45.9914431;G006865E45990N;3;0
0.0032;0.5191;du Mort;2015;Aiguilles Rouges;2725.721296;2696;2771;2725;156.87823;NNE;6.865047165;45.98990209;G006865E45990N;3;0
0.0128;0.6982;du Belvedere_2;2015;Aiguilles Rouges;2613.777778;2600;2631;2616;69.02867;E;6.87724892;45.98621955;G006877E45985N;3;90
0.0262;0.9757;du Belvedere_1;2015;Aiguilles Rouges;2712.5625;2670;2763;2713.5;254.31922;E;6.875750975;45.98340866;G006877E45985N;3;90
0.0909;1.9886;de la Floria;2015;Aiguilles Rouges;2562.875862;2458;2675;2558;504.8158;WNW;6.862968052;45.97508779;G006871E45984N;3;270
0.0113;0.6824;Passon;2015;Mont Blanc;2940.571429;2863;3027;2932;241.58279;WSW;6.988045853;45.97283757;G006986E45973N;3;270
0.0425;1.285;Adams Reilly;2015;Mont Blanc;3149.458333;3019;3282;3148.5;294.33957;W;6.992886268;45.96930669;G006990E45969N;3;270
6.5961;33.7416;Tour;2015;Mont Blanc;3005.659011;2413;3539;2995;4532.73572;NW;6.996872584;45.98340017;G006988E45987N;3;315
0.0415;1.4293;Trident;2015;Mont Blanc;3048.230769;2951;3151;3041.5;303.35558;SSW;6.994937679;45.96436693;G006994E45965N;3;180
0.7203;7.1752;du Chardonnet;2015;Mont Blanc;3195.355353;2845;3626;3192;1497.33231;W;7.00599603;45.96148633;G007003E45960N;3;270
