Area;Perimeter;Glacier;Annee;Massif;MEAN_Pixel;MIN_Pixel;MAX_Pixel;MEDIAN_Pix;Length;Aspect;x_coord;y_coord;slope20;GLIMS_ID;Massif_SAFRAN;Aspect_num
31.85;83.4921;Mer de Glace ;2003;Mont Blanc;2661.959268;1501;3966;2664;13227.57956;NNE;6.93439;45.8829;8;G006934E45883N;3;315
2.0292;17.6321;des Quirlies 1;2003;Grandes Rousses;2984.775112;2625;3384;2982;2182.326467;ENE;6.14937;45.1426;12;G006149E45143N;12;90
2.7969;13.1639;de Saint Sorlin;2003;Grandes Rousses;3024.861871;2666;3428;3017;2727.911954;NE;6.1592;45.1597;9;G006159E45160N;12;45
1.4745;9.447;des Rouies;2003;Ecrins;3203.691297;2797;3531;3214;2438.528727;NE;6.27526;44.8777;19;G006275E44878N;15;45
3.0462;17.0794;de la Pilatte;2003;Ecrins;2875.648166;2263;3430;2880;2971.107675;N;6.3342;44.8646;18;G006334E44865N;16;0
1.9831;10.1451;du Sele 1;2003;Ecrins;2966.287706;2539;3456;2969;2721.069581;NE;6.36669;44.861;17;G006367E44861N;16;45
1.2229;8.8651;du Vallon de la Pilatte;2003;Ecrins;3330.841693;2924;3754;3330.5;1386.24246;SW;6.34726;44.9191;28;G006347E44919N;16;225
5.1525;24.3619;Blanc 1;2003;Ecrins;3190.491513;2364;3982;3194.5;6011.397783;E;6.38187;44.9438;16;G006382E44944N;16;90
1.1524;8.9541;du Casset 1;2003;Ecrins;3063.256516;2288;3588;3109;2389.577901;NNE;6.43908;44.9565;30;G006439E44956N;16;0
1.8968;16.4729;de la Selle 1;2003;Ecrins;3144.841667;2696;3748;3128.5;2054.64211;SW;6.27415;44.9919;15;G006256E44974N;15;225
3.4716;16.723;de Mont de Lans;2003;Ecrins;3148.729651;2648;3513;3152.5;2086.411688;NW;6.22584;45.0033;25;G006226E45003N;15;315
5.3886;14.908;de la Girose;2003;Ecrins;3114.221973;2600;3607;3116.5;2561.556765;N;6.25249;45.009;23;G006252E45009N;15;0
1.5883;11.137;du Lautaret;2003;Ecrins;2924.495108;2241;3710;2945.5;2881.766604;NE;6.33899;45.0065;23;G006339E45007N;15;45
3.5842;13.5351;de Gebroulaz;2003;Vanoise;3034.380787;2589;3471;3035.5;4376.551145;N;6.62902;45.2947;11;G006629E45295N;10;0
3.8583;14.3142;Arpont;2003;Vanoise;3121.668241;2672;3551;3125;3008.264227;ESE;6.75643;45.3183;14;G006756E45318N;10;90
3.5677;13.3875;du Pelve 1;2003;Vanoise;3093.612172;2655;3522;3097.5;2609.616499;ENE;6.76265;45.3441;16;G006763E45344N;10;90
2.7755;9.4138;de l'Arcelin;2003;Vanoise;2958.63447;2665;3236;2961.5;2851.776881;N;6.78025;45.3692;19;G006780E45369N;10;0
2.3921;15.8706;de la Mahure;2003;Vanoise;3183.087931;2856;3511;3184.5;1734.809713;E;6.74514;45.302;21;G006745E45302N;10;90
4.3105;16.4131;de la Grande Motte;2003;Vanoise;3120.037274;2514;3632;3115;3236.837962;NNW;6.88119;45.423;14;G006881E45423N;10;0
2.305;10.2517;du Vallonnet 1;2004;Vanoise;3225.86722;2791;3498;3241.5;1959.451464;NNE;6.90355;45.3351;21;G006904E45335N;6;0
2.059;11.9563;Rochemelon;2003;Haute Maurienne;3092.951567;2887;3285;3095;2427.164953;NW;7.06749;45.2208;11;G007067E45221N;11;315
2.0669;13.8658;du Baounet 1;2003;Haute Maurienne;3034.057582;2769;3303;3034;2900.433919;NW;7.11705;45.2555;9;G007117E45255N;11;315
2.012;14.601;du Grand Mean Nord;2003;Vanoise;3096.126667;2866;3347;3095.5;2329.303841;WNW;7.14293;45.3633;8;G007143E45363N;11;270
2.372;12.1067;du Mulinet;2003;Haute Maurienne;3053.913758;2768;3320;3054;1705.54065;NW;7.14375;45.3715;8;G007144E45371N;11;315
2.1087;7.5688;de la Sassiere;2003;Haute Vallee de l'Isere;3203.172073;2782;3591;3208;2158.575921;NW;6.98847;45.5152;19;G006988E45515N;6;315
0.9497;7.2733;de Savinaz;2003;Haute Vallee de l'Isere;3089.48;2452;3567;3148;2221.904992;ENE;6.87952;45.521;23;G006880E45521N;6;90
1.8138;8.1167;Sud de la Gurraz;2003;Haute Vallee de l'Isere;3021.143187;2245;3534;3053.5;3313.858311;NE;6.87363;45.5307;21;G006874E45531N;6;45
8.7931;36.1034;de Tre la Tete 1;2003;Mont Blanc;2908.673195;2036;3838;2912.5;7261.043946;WSW;6.78358;45.7843;10;G006784E45784N;6;270
7.6856;36.6388;de Talefre;2003;Mont Blanc;3032.899917;2276;3723;3031;5010.455327;WSW;6.99182;45.9127;10;G006992E45913N;3;270
8.2337;25.5718;du Tour;2003;Mont Blanc;2933.072968;2184;3578;2940.5;4112.489043;NW;6.98808;45.9867;16;G006988E45987N;3;315
13.9383;66.295;d'Argentiere;2003;Mont Blanc;2689.281658;1490;3741;2725;9201.197192;NW;6.98505;45.9506;11;G006985E45951N;3;315
0.3033;4.6918;de Sarenne 1;2003;Grandes Rousses;2943.41958;2865;3042;2940;828.3859519;SSW;6.12879;45.1174;10;G006129E45117N;12;180
