Area;Perimeter;Glacier;Annee;Massif;MEAN_Pixel;MIN_Pixel;MAX_Pixel;MEDIAN_Pix;Length;Aspect;x_coord;y_coord;slope20;GLIMS_ID;Massif_SAFRAN;Aspect_num;slope20_evo
28.869;135.51;Mer de Glace 1;2015;Mont Blanc;2868.590752;1551;4016;2992;13115.45043;NW;6.933983033;45.87542493;8;G006934E45883N;3;315;6.9
1.7607;15.6429;des Quirlies;2015;Grandes Rousses;2961.556974;2592;3364;2939;2311.32366;ENE;6.146946041;45.14205087;12;G006149E45143N;12;90;13.7
2.069;17.7762;Saint Sorlin;2015;Grandes Rousses;2922.27851;2674;3413;2893;2631.71657;NE;6.159785336;45.15974323;9;G006159E45160N;12;45;8.4
1.2354;9.5772;des Rouies;2015;Ecrins;3284.512953;2943;3516;3313;2177.2239;NE;6.26238473;44.87219809;19;G006275E44878N;15;45;27.13
2.2626;22.7411;de la Pilatte;2015;Ecrins;2933.053571;2360;3408;2984.5;2898.40755;N;6.33778816;44.85739492;18;G006334E44865N;16;0;12.1
1.4234;12.8461;du Sele;2015;Ecrins;3005.452381;2534;3313;3063.5;2824.14868;NE;6.366165044;44.86126257;17;G006367E44861N;16;45;11.6
0.6728;7.828;du vallon de la Pilatte;2015;Ecrins;3446.417062;3089;3745;3456.5;1330.1198;SW;6.349101393;44.91918075;28;G006347E44919N;16;225;40.7
4.703;29.7331;Blanc;2015;Ecrins;3196.086897;2456;3748;3187;5735.97133;E;6.37647643;44.93782946;16;G006382E44944N;16;90;21.5
0.8677;8.5221;du Casset;2015;Ecrins;3189.493554;2771;3597;3171;1882.63383;NNE;6.438095622;44.95623338;30;G006439E44956N;16;0;34
1.2739;11.3878;de la Selle;2015;Ecrins;3186.755975;2942;3769;3128;2072.31863;NNW;6.277185655;44.99213459;15;G006256E44974N;15;225;26.3
2.7093;20.5276;de Mont de Lans;2015;Ecrins;3233.621302;2849;3499;3258;2146.67103;NW;6.219631612;45.00086996;25;G006226E45003N;15;315;32.9
4.6497;21.7568;de la Girose;2015;Ecrins;3223.742847;2708;3579;3244;2761.20914;N;6.252386693;45.00526327;23;G006252E45009N;15;0;34
1.21;7.4076;du Lautaret;2015;Ecrins;3038.369352;2567;3512;3034;1830.12484;N;6.333750036;45.00464717;23;G006339E45007N;15;45;17.9
2.8701;20.6379;de Gebroulaz;2015;Vanoise;3022.778463;2603;3480;3016;4497.77755;N;6.631740529;45.28976706;11;G006629E45295N;10;0;7.1
3.1645;15.8007;de l'Arpont;2015;Vanoise;3291.921739;2738;3581;3338;2841.99896;ESE;6.752981315;45.32144196;14;G006756E45318N;10;90;18.1
2.6743;12.3823;du Pelve 1;2015;Vanoise;3232.531022;2754;3525;3253;3093.21578;ENE;6.75620236;45.3424762;16;G006763E45344N;10;90;14.88
2.3452;11.2555;de l'Arcellin - Roche Ferran 1;2015;Vanoise;3050.749035;2814;3223;3053;2799.38772;N;6.781959772;45.36757727;19;G006780E45369N;10;0;21.8
2.24;8.2921;de la Mahure 1;2015;Vanoise;2985.315141;2662;3289;2973.5;2345.07412;E;6.748674528;45.29611832;21;G006745E45302N;10;90;22.4
3.1526;20.1183;de la Grande Motte;2015;Vanoise;3025.985082;2661;3634;2965;3437.85958;NNW;6.881090788;45.42057731;14;G006881E45423N;10;0;11.4
1.8769;10.9405;du Vallonnet;2015;Vanoise;3282.271616;3019;3498;3286;1798.92481;NNE;6.909524973;45.33308978;21;G006904E45335N;6;0;29.5
1.3711;12.782;de Rochemelon;2015;Haute Maurienne;3130.317961;2935;3261;3155;2484.25297;NW;7.070060444;45.21873727;11;G007067E45221N;11;315;11.66
1.35;7.8954;Baounet 1;2015;Haute Maurienne;3018.423803;2801;3283;3014;2639.28057;NW;7.120765525;45.25317405;9;G007117E45255N;11;315;8.76
1.3635;11.6501;du Grand Mean Nord 1;2015;Vanoise;3082.422141;2874;3327;3087;2218.03708;WNW;7.147492616;45.36144149;8;G007143E45363N;11;270;12.9
1.7369;9.8408;du Mulinet;2015;Haute Maurienne;3083.782732;2850;3302;3086;1762.03611;NW;7.151939537;45.3768116;8;G007144E45371N;11;315;8.9
1.8699;8.814;de la Sassiere;2015;Haute Vallee de l'Isere;3258.275556;2852;3621;3274;2105.89748;NW;6.988557456;45.5106147;19;G006988E45515N;6;315;17.9
0.7574;7.2761;de la Savinaz;2015;Haute Vallee de l'Isere;3270.540839;2598;3556;3342;1857.63396;NE;6.87555174;45.51601365;23;G006880E45521N;6;90;24.5
1.583;10.2692;de la Gurraz;2015;Haute Vallee de l'Isere;3099.925926;2481;3563;3094;2801.79007;NE;6.872276039;45.52580102;21;G006874E45531N;6;45;27.2
7.39;59.614;de Tre la Tete 1;2015;Mont Blanc;2961.664305;2015;3862;3010;7504.53162;WSW;6.788449586;45.79351082;10;G006784E45784N;6;270;10.9
6.6518;44.5737;de Talefre;2015;Mont Blanc;2998.272771;2499;3724;3009.5;4625.77008;WSW;6.988770455;45.91560942;10;G006992E45913N;3;270;14
6.91;33.7416;du Tour;2015;Mont Blanc;3005.659011;2413;3539;2995;4532.73572;NW;6.996872584;45.98340017;16;G006988E45987N;3;315;24.5
12.07;46.3888;d'Argentiere;2015;Mont Blanc;2860.363893;2196;4093;2820;3084.8895;NW;6.996976498;45.94140032;11;G006985E45951N;3;315;15.7
0.047;1.5839;Sarennes 1;2015;Grandes Rousses;2928.666667;2885;3027;2921;462.94258;SSW;6.132130041;45.11630653;10;G006129E45117N;12;180;10
