Area;Perimeter;Glacier;Année;Massif;WGI;Opérateur;MEAN_Pixel;MIN_PixelV;MAX_PixelV;MEDIAN_Pix;date;data_sourc;institutio;date_analy;FID_1;Length;aspect_sec;x_coord;y_coord;GLIMS_ID;analyst_2;processing;MEAN_Pix_1
2.0690;17.7762;Saint Sorlin;2015;Grandes Rousses;F4N01162B9 + F4N01154D03;Antoine Rabatel;2922.27851047;2674;3413;2893.0;2015-08-29;Sentinel-2_31TGL_2015-08-29;Université de Grenoble - IGE;01-05-2017;575;2631.71657;NE;6.1597853358;45.1597432266;G006159E45160N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;16.473
0.5284;9.0213;du Grand Sablat;2015;Grandes Rousses;F4N01163C05;Antoine Rabatel;3170.06134969;2832;3378;3232.5;2015-08-29;Sentinel-2_31TGL_2015-08-29;Université de Grenoble - IGE;01-05-2017;507;1434.38224;ESE;6.1335448433;45.1313411620;G006132E45128N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;23.691
1.7607;15.6429;des Quirlies;2015;Grandes Rousses;F4N01163C06;Antoine Rabatel;2961.55697356;2592;3364;2939.0;2015-08-29;Sentinel-2_31TGL_2015-08-29;Université de Grenoble - IGE;01-05-2017;570;2311.32366;ENE;6.1469460408;45.1420508696;G006149E45143N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;21.386
0.5515;7.0119;du Prazon_1;2015;Aiguilles Rouges;F4N01231C02;Antoine Rabatel;2667.98475610;2491;2882;2659.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;511;727.76858;WNW;6.8867360577;46.1051420992;G006887E46108N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;40.800
0.8443;10.7015;Glacier du Clot de l'Homme Pelvoux Violettes_1;2015;Ecrins;F4N01083B10 +F4N01083B11 + F4N01083B12;Antoine Rabatel;3492.27272727;2853;3938;3573.5;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;539;2234.16034;NE;6.4068872868;44.8987439577;G006408E44900N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;30.588
0.8526;11.5907;Glacier du Vallon des Etages_1;2015;Ecrins;F4N01166E06;Antoine Rabatel;2841.17857143;2422;3242;2900.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;541;1310.10924;N;6.2584107827;44.8916858762;G006263E44892N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;33.330
0.8187;7.8312;Glacier du Chardon_1;2015;Ecrins;F4N01166D20;Antoine Rabatel;2921.00389105;2324;3300;3077.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;537;2250.08616;NE;6.2825378052;44.8779696405;G006275E44878N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;17.505
1.2354;9.5772;Glacier des Rouies;2015;Ecrins;F4N01166D22;Antoine Rabatel;3284.51295337;2943;3516;3313.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;556;2177.22390;NE;6.2623847297;44.8721980908;G006275E44878N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;20.551
0.5796;10.6114;Glacier du Says_1;2015;Ecrins;F4N01166D14;Antoine Rabatel;3052.62707182;2777;3292;3064.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;515;899.51338;N;6.3142185076;44.8674553922;G006319E44867N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;28.834
0.5532;4.3296;Glacier Ouest des Sellettes_1;2015;Ecrins;F4N01166F16;Antoine Rabatel;2879.36994220;2714;3014;2869.5;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;512;1207.40382;NE;6.2028858009;44.8649953954;G006204E44866N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;16.815
