Name;Lon;Lat
Saint Sorlin;6.1597853358;45.1597432266
du Grand Sablat;6.1335448433;45.131341162
des Quirlies;6.1469460408;45.1420508696
du Prazon;6.8867360577;46.1051420992
du Clot de l'Homme Pelvoux Violettes;6.4068872868;44.8987439577
du Vallon des Etages;6.2584107827;44.8916858762
des Rouies;6.2623847297;44.8721980908
du Says;6.3142185076;44.8674553922
Ouest des Sellettes;6.2028858009;44.8649953954
Est des Sellettes;6.2156792824;44.8614427026
de la Pilatte;6.33778816;44.8573949155
du Sele;6.3661650444;44.8612625667
Noir;6.3781367351;44.9052937487
d'Arsine;6.4076304779;44.9601081181
du Casset;6.4380956218;44.9562333811
du Monetier;6.4461621769;44.9351773584
de Seguret Foran;6.4576298201;44.9281285771
de la Plate des Agneaux 1;6.3504883854;44.954435634
de Bonne Pierre;6.3394635859;44.9317524575
du vallon de la Pilatte;6.3491013931;44.9191807466
Blanc;6.3764764303;44.9378294587
de la Selle;6.277185655;44.9921345945
des Etancons;6.3150794398;44.9983715434
du Lautaret;6.333750036;45.0046471746
de l'Homme;6.3255030407;45.008700987
du Tabuchet;6.320715389;45.0152733711
de la Meije;6.3015148679;45.0081745626
du Rateau;6.2816642219;45.0089411997
de la Girose;6.2523866934;45.0052632702
de Mont de Lans;6.219631612;45.0008699581
Tour;6.9968725843;45.9834001735
du Chardonnet;7.0059960302;45.961486326
des Amethystes;7.02302744;45.9503799206
du Nant Blanc;6.9542123118;45.9389078082
du Tour Noir;7.0286304567;45.9425185419
de Talefre;6.9887704545;45.9156094153
d'Envers de Blaitiere;6.9199031962;45.8931899672
des Pelerins;6.8915222565;45.8911419413
de Miage;6.7999849376;45.827999892
des Glaciers;6.7954877156;45.771392363
de l'Invernet;6.9902712249;45.6348749627
Inferieur des Balmes;6.9744554533;45.5483433876
Nord de la Gurraz;6.8702091306;45.5345396032
de la Gurraz;6.8722760389;45.5258010151
du Fond;6.9962834329;45.5175228311
des Sources de l'Isere 1;7.1082435935;45.4409122774
des Sources de l'Isere 2;7.1001119715;45.4373300682
de la Grande Casse;6.8048636979;45.408479111
de Premou;6.8536521725;45.4121059791
de la Grande Motte;6.8810907877;45.4205773052
des Grands Couloirs;6.8164950947;45.4018724781
des Sources de l'Arc 4;7.176374706;45.4023353869
des Sources de l'Arc 2;7.1578095064;45.3877221166
du Mulinet;7.1519395374;45.3768115975
du Grand Mean Nord 1;7.1474926162;45.3614414861
du Vallonnet;6.9095249726;45.3330897834
des Evettes;7.1167658767;45.3347757244
du Genepy;6.7309510585;45.3096339801
des Sonnailles;6.744382233;45.335170962
de la Mahure 1;6.7486745281;45.2961183204
de Charbonnel;7.052496771;45.2839111051
d'Arnes;7.1302284975;45.2784444489
de Chaviere 1;6.6204487193;45.2711465805
de Chaviere 2;6.6124943453;45.2518950232
Baounet 1;7.1207655246;45.2531740544
de Derriere le Clapier 1;7.0878025022;45.2318450343
de Rochemelon;7.0700604436;45.2187372681
d'Argentiere;6.9969764977;45.9414003162
Du Dome de Chasseforet 1;6.764811946;45.3339866102
du Grand Fond;7.0909242861;45.334694499
Superieur du Vallonnet 1;7.0819433509;45.3423296973
de Rhemes Golette 1;7.0505119168;45.4921970182
de la Sassiere;6.9885574564;45.5106147033
de l'Epena;6.8277115028;45.413040043
de l'Arpont;6.7529813147;45.321441961
du Pelve 1;6.7562023602;45.3424761959
du Grand Marchet;6.7601415371;45.3585748438
de l'Arcellin - Roche Ferran 1;6.7819597722;45.3675772738
de la Mahure 2;6.7404602796;45.3028998344
de Tre la Tete 1;6.7884495863;45.7935108206
Mer de Glace;6.933983033;45.8754249331
de Bionnassay;6.814408938;45.8453908995
des Bossons;6.8661609102;45.856370503
de Taconnaz;6.8459561684;45.8586186416
d'Armancette;6.7814519271;45.8086785186
Superieur des Balmes;6.9860290163;45.538068241
de la Savinaz;6.8755517402;45.5160136538
de Gebroulaz;6.6317405292;45.2897670588
