Glacier name;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Mer de Glace;0.9907;1.5957;-1.0113;1.2717;-0.5963;-0.7803;-1.4773;-0.4553;-1.0683;-0.0163;-0.5443;0.6557;0.0287;-0.1323;-1.7023;-0.6683;-0.6613;-0.2973;-1.8393;-2.8773;-0.8743;-2.2933;-1.4403;-0.6433;-0.9373;-3.1413;-0.7433;-2.4373;-1.7333;-1.3373;-1.1833
des Quirlies;0.19;-0.53;-1.22;-0.19;-0.02;-1.09;-1.1;-0.62;-1.21;-0.87;0.08;0.64;0.17;-0.86;-1.54;-0.65;-0.93;0.23;-2.18;-2.3;-1.61;-2.04;-1.47;-1.57;-0.4;-2.16;-1.39;-2.54;-2.66;-0.69;-1.33
Saint Sorlin;0.83;0.1;-1.41;-0.17;0.28;-2.11;-0.66;-1.01;-1.32;-1;0.41;1.11;0.03;0.22;-2.18;-0.63;-1.11;0.84;-1.67;-3.02;-2.55;-2.63;-1.3;-2.36;-0.92;-2.72;-0.37;-2.63;-2.36;-0.72;-1.19
Glacier des Rouies;0.72;-0.03;-1.32;0.12;0.66;-1;-0.2;-0.37;-0.59;-0.39;0.05;0.14;0.64;-0.05;-1.12;0.11;-0.12;0.73;-0.04;-3.28;-2.8;-3.25;-1.51;-1.33;-0.26;-1.03;-0.39;-1.42;-1.37;0.02;-0.2
Glacier de la Pilatte;-0.24;-0.38;-1.53;-0.44;0.39;-2.97;-1.75;-0.38;-1.13;-0.93;-0.49;-0.36;0.1;-0.17;-1.66;-0.39;-0.51;1.51;0.22;-3.87;-1.63;-2.88;-2.62;-2.21;-1.25;-2.46;0.27;-1.99;-1.97;-0.35;-1.31
Glacier du Sele_1;-0.15;-1.29;-1.65;-0.84;-0.35;-1.7;-0.98;-1.51;-1.19;-0.99;-0.55;-0.81;0.04;-0.57;-1.72;-0.66;-1.18;1.81;-1.07;-2.47;-1.89;-1.71;-1.28;-1.57;-0.47;-1.77;-1.18;-1.87;-1.78;-1.12;-1.26
Glacier du vallon de la Pilatte_1;1.32;-0.84;-2.16;0.1;-0.98;-2.57;0.3;-0.76;-0.67;-0.65;-0.57;1.25;0.38;-0.42;-2.03;-0.39;-0.58;0.66;0.25;-1.85;-2.03;-2.23;-1.94;-2.09;-1.03;-1.81;-0.58;-2.26;-2.17;-0.46;-0.95
Glacier Blanc_1;-0.17;-0.76;-1.29;-0.53;-0.35;-1.32;-0.32;-1.18;-1.31;-0.89;-0.17;-0.27;0.41;-0.33;-1.11;-0.71;-1.23;-0.05;-0.71;-1.84;-1.36;-1.99;-1.52;-1.35;-0.5;-1.34;-0.59;-1.35;-1.46;-0.7;-1.26
Glacier du Casset;-0.13;-0.63;-0.76;-0.69;-0.54;-1.45;-0.96;-0.84;-0.82;-0.63;-0.73;-0.26;0.38;-0.57;-1.17;-0.92;-1.08;0.53;-0.57;-2.19;-1.72;-3.27;-1.56;-1.15;-0.74;-1.53;-0.58;-1.42;-1.64;-0.69;-0.75
Glacier de la Selle_1;0.16;-0.02;-1.12;0.05;0.03;-1.87;-0.46;-1.09;-1.12;-0.97;0.18;0.3;0.34;0;-1.23;0.35;-0.13;0.35;-0.89;-2.38;-1.64;-1.55;-1.56;-1.84;0.08;-2.18;-1.46;-1.49;-1.52;-0.09;-0.92
